"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","GO:0007409","axonogenesis","200/4762","459/18805",0.435729847494553,1.72068454055756,9.10271033994578,5.76319336077485e-18,3.63888028799324e-14,3.00171376306463e-14,"SNAP25/CDH1/NOTCH2/NRP1/RELN/NTN1/FOXG1/COBL/EMB/ROBO1/UST/ETV1/EPHA3/NPTX1/PAX6/POU4F1/KIF5C/NOVA2/AUTS2/NELL2/ROBO2/NCAM1/DPYSL5/NRXN3/ITGA4/NRXN1/CHRNB2/NTNG1/NRCAM/BCL11A/B4GALT6/CYFIP2/CNTN1/NFASC/EPHA4/PTPRZ1/GAP43/NEO1/BCL11B/XK/PLXNA4/MAP1A/TUBB2B/MAP2/LPAR3/CHN1/SEMA6D/EPHA6/FLRT3/NTN4/PLEKHG4B/PRDM8/FGFR2/DCC/BOC/PTPRJ/GDNF/STMN1/NGFR/EPHA7/DISC1/SLITRK3/PTPRH/MAPT/LHX9/DRD2/POU3F2/LMO4/PTPRM/BCL2/SEMA3D/BARHL2/FOXD1/PTPRO/UNC5C/OPHN1/SLITRK5/ALCAM/EPHA5/PLPPR4/DCLK1/CHODL/THY1/LHX1/CDH11/LIMK1/SLITRK1/SPTBN4/NDN/SMO/EPHB1/NDP/CRABP2/CDK5R1/SEMA4B/NEFL/CDK5R2/AMIGO1/BRSK1/APBB2/MAP1B/NTN3/UNC5A/SHTN1/GLI2/MYOT/CTTN/POTEE/ACTG1/BRSK2/VCL/FYN/UCHL1/NFIB/SLITRK6/NOTCH3/UNC5B/DSCAML1/NR4A2/EXT1/SHOX2/FEZ1/MAP6/KIF5A/GLI3/PTEN/CNTN2/SMURF1/NEFH/NTNG2/GBX1/ARK2C/LHX2/ITGB1/ROBO3/CRPPA/SEMA3E/GBX2/NR2E1/ISL2/NTRK1/CDKL5/DRAXIN/SEMA4F/WDR47/S100A6/LAMA2/TRPC5/DLX5/SEMA6C/NEXN/IST1/PTK7/EDN1/FEZF2/TRIM46/NTRK2/ARHGEF25/MAP1S/APLP1/NOG/PRKG1/NUMBL/NOTCH1/ADGRB1/WNT7B/ERBB2/PLA2G10/SEMA7A/LRRC4C/PLEKHG4/ADCY10/WNT5A/EPHB3/RAB3A/CSF1R/KIF13B/KLF7/OLFM1/IGF1R/EDN2/SPG21/LAMB2/TCTN1/CXCL12/ARTN/RPS6KA5/POTEF/ATL1/HOXA2/FLOT1/PARD3/NUMB/FSTL4/TIAM1/FGF13/RGMA/VANGL2/NKX6-1/RPL24",200
"GO:0010975","GO:0010975","regulation of neuron projection development","192/4762","448/18805",0.428571428571429,1.69241615167697,8.63764223313302,2.1381449760993e-16,6.75012368954548e-13,5.56817965354701e-13,"ITGA6/DPYSL3/SNAP25/CDH1/TNIK/NRP1/CRMP1/DKK1/RELN/NTN1/COBL/KNDC1/ROBO1/UST/DDR2/PRRX1/EPHA3/PAX6/KIF26A/CHRNA3/RTN4RL1/KIF1A/NOVA2/PLK5/ROBO2/DPYSL5/PTPRD/DAB2/CHRNB2/NTNG1/NRCAM/BCL11A/LRRC7/PREX1/IL15RA/CNTN1/EPHA4/NEO1/PRKD1/ZNF804A/SDC2/FAT3/NLGN1/XK/TUBB2B/MAP2/DMD/MARK1/LZTS1/LPAR3/CNR1/CHN1/SEMA6D/ADGRB3/PPFIA2/DCC/NTRK3/VLDLR/NEGR1/ITGA3/FZD1/EPHA7/DISC1/FUT9/STMN2/MAPT/TBC1D24/POU3F2/TRIM67/PLPPR5/PTPRO/GRID2/CHODL/THY1/IL1RAPL1/LIMK1/STK24/SLITRK1/CSMD3/TOX/GPRASP3/ZDHHC15/CRABP2/CDK5R1/NEFL/NFATC4/SYNE1/AMIGO1/BRSK1/MAP1B/KREMEN1/HECW2/FGFR1/RGS2/ENC1/SFRP1/SHTN1/LRRK2/GFI1/BRSK2/ELAVL4/DGKG/STYXL1/PTK6/FYN/ARC/RTN4RL2/ACP4/RAB17/CBFA2T2/FBXO7/SHOX2/FEZ1/SEZ6/CAMK2G/ARMCX5-GPRASP2/PACSIN1/MAP6/PTEN/GSK3A/CNTN2/SMURF1/PTK2B/NTNG2/ITPKA/MFSD2A/ROBO3/LYN/NR2E1/SERPINF1/NTRK1/CDKL5/DRAXIN/KDM1A/PTN/SEMA4F/TRPC5/MBOAT1/SEMA6C/ACAP3/PPP3CA/IST1/PTK7/FEZF2/TRIM46/ITM2C/NTRK2/DDX56/NGEF/ZNF365/NDNF/TLX2/GFAP/FZD4/ZNF296/KLK6/KANK1/DTNBP1/EHD1/SERPINI1/SMAD1/SEMA7A/LRRC4C/ADCY10/MIR221/ARHGAP33/WNT5A/EPHB3/HES1/CFLAR/KIF13B/LZTS3/IGF1R/CAMK1D/CXCL12/LRP8/CAMSAP2/ARSB/PMP22/AP2A1/SARM1/PTPN1/SRCIN1/CUX2/DNM3/FSTL4/TIAM1/TMEM106B/FGF13/RGMA/TANC2/SNX3",192
"GO:0050803","GO:0050803","regulation of synapse structure or activity","142/4762","321/18805",0.442367601246106,1.74689683776418,7.85968292061704,9.14218405747225e-14,1.92412500462933e-10,1.58721146373237e-10,"SNAP25/TUBA1A/SHANK2/IL1RAP/DKK1/RELN/NTN1/CLSTN2/KIF1A/ROBO2/PTPRD/NRXN1/CHRNB2/NRCAM/SNCA/AMIGO2/CYFIP2/GPR158/EPHA4/IGSF11/SYBU/FARP1/ZNF804A/SRPX2/NLGN1/GPM6A/MARK1/LZTS1/ADGRB3/FLRT3/PPFIA2/GRIN2B/DOCK4/VLDLR/NEGR1/LINGO2/LRFN5/SLC17A6/CDH2/FZD1/LHFPL4/EPHA7/DISC1/SLITRK3/CAMKV/DRD2/PTPRO/GRID2/C1QL1/SLITRK5/SYNDIG1/ELMO1/NEUROD2/LIN7A/CARMIL3/PLPPR4/DCLK1/IL1RAPL1/IL10RA/NRXN2/SLITRK1/GPRASP3/EPHB1/FRMPD4/ZDHHC15/CBLN1/ST8SIA2/CDK5R1/NEFL/NFATC4/AMIGO1/MAP1B/FGFR1/LRRK2/AMOT/SLC18A3/TPBG/TUBB/SLC17A7/FYN/ARC/CAP2/SIX1/SLITRK6/RAB17/ADAM10/GRID1/ARMCX5-GPRASP2/PCDH8/PTK2B/LRTM2/NTNG2/SLC7A11/ITGB1/ITPKA/DOCK1/NTRK1/CDKL5/SRGAP2C/CASKIN1/CHMP2B/OGT/RHOB/MDGA1/ARF4/NTRK2/NGEF/SETD5/MEF2C/CHRFAM7A/SIX4/GPC4/LRFN2/DTNBP1/CHD4/ADGRB1/PDXP/COLQ/SEMA7A/ARHGAP33/WNT5A/EPHB3/SPARCL1/LRFN1/ABHD17C/LZTS3/DLG5/LRP8/ABHD17A/ASAP1/SARM1/PTPN1/RPS6KA5/SRCIN1/ARHGAP22/CUX2/DNM3/EGLN1/PRNP/TIAM1/SPARC/TANC2",142
"GO:0021537","GO:0021537","telencephalon development","127/4762","280/18805",0.453571428571429,1.79114042719146,7.7668220283836,2.06581339740019e-13,2.6604572233726e-10,2.19461219699709e-10,"ANXA3/EGFR/TUBA1A/RELN/FOXG1/KCNA1/ALDH1A3/ROBO1/NEUROD1/ATP2B4/PAX6/KCNA2/H2AJ/KIF26A/FOXP1/RTN4RL1/FAT4/ROBO2/BTG2/PAX5/LHX6/PLCB1/ERBB4/BCL11B/BMERB1/PLXNA4/PROX1/TUBB2B/SLC1A2/DCLK2/TMEM108/CDON/PRDM8/FOXP2/CDH2/DISC1/DLX1/DRD2/POU3F2/SCN2A/SLITRK5/IGF2BP1/CCDC141/EPHA5/LHX1/PHACTR1/DNAH5/NRG3/BMP4/TH/COL3A1/SMO/AVPR1A/DIXDC1/CDK5R1/NEFL/CNTNAP2/CDK5R2/DLX2/KCNA3/PIANP/KCNC1/TACC2/LRRK2/EOMES/CXCR4/NFIB/LAMB1/EXT1/FEZ1/KDM2B/GLI3/PTEN/CNTN2/SLC7A11/TSC1/LHX2/SCT/MFSD2A/SLC38A2/ATF5/EZH1/NR2E1/DRAXIN/SRGAP2C/SIX3/KDM1A/WDR62/EMX1/WDR47/ADGRG1/FXR2/ATP1A2/DLX5/BBS1/SKI/MDGA1/FEZF2/NTRK2/BMP2/BTBD3/NOTCH2NLB/NDE1/SOCS7/NUMBL/SEMA7A/SRGAP2/WNT5A/EPHB3/UCHL5/HES1/WDR37/CSF1R/IGF1R/TUBB2A/TCTN1/CXCL12/LRP8/AQP1/CHD7/SUN1/KIF14/NUMB/RARB/FGF13/ID2/SECISBP2",127
"GO:0050807","GO:0050807","regulation of synapse organization","139/4762","315/18805",0.441269841269841,1.74256181543036,7.73943581764512,2.10679222630076e-13,2.6604572233726e-10,2.19461219699709e-10,"SNAP25/TUBA1A/SHANK2/IL1RAP/DKK1/RELN/NTN1/CLSTN2/KIF1A/ROBO2/PTPRD/NRXN1/CHRNB2/NRCAM/SNCA/AMIGO2/CYFIP2/GPR158/EPHA4/IGSF11/FARP1/ZNF804A/SRPX2/NLGN1/GPM6A/MARK1/LZTS1/ADGRB3/FLRT3/PPFIA2/GRIN2B/DOCK4/VLDLR/NEGR1/LINGO2/LRFN5/CDH2/FZD1/LHFPL4/EPHA7/DISC1/SLITRK3/CAMKV/DRD2/PTPRO/GRID2/C1QL1/SLITRK5/SYNDIG1/ELMO1/NEUROD2/LIN7A/CARMIL3/PLPPR4/DCLK1/IL1RAPL1/IL10RA/NRXN2/SLITRK1/GPRASP3/EPHB1/FRMPD4/ZDHHC15/CBLN1/ST8SIA2/CDK5R1/NEFL/NFATC4/AMIGO1/MAP1B/FGFR1/LRRK2/AMOT/SLC18A3/TPBG/TUBB/FYN/ARC/CAP2/SIX1/SLITRK6/RAB17/ADAM10/GRID1/ARMCX5-GPRASP2/PCDH8/PTK2B/LRTM2/NTNG2/SLC7A11/ITGB1/ITPKA/DOCK1/NTRK1/CDKL5/SRGAP2C/CASKIN1/CHMP2B/OGT/RHOB/MDGA1/ARF4/NTRK2/NGEF/SETD5/MEF2C/CHRFAM7A/SIX4/GPC4/LRFN2/DTNBP1/CHD4/ADGRB1/PDXP/COLQ/SEMA7A/ARHGAP33/WNT5A/EPHB3/SPARCL1/LRFN1/ABHD17C/LZTS3/DLG5/LRP8/ABHD17A/ASAP1/SARM1/PTPN1/RPS6KA5/SRCIN1/ARHGAP22/CUX2/DNM3/EGLN1/PRNP/TIAM1/SPARC/TANC2",139
"GO:0030900","GO:0030900","forebrain development","171/4762","413/18805",0.414043583535109,1.63504611263707,7.59898657852696,3.76495711800324e-13,3.96198987384541e-10,3.26824698594386e-10,"ANXA3/EGFR/CDH1/TUBA1A/NRP1/DKK1/RELN/FOXG1/KCNA1/ALDH1A3/ROBO1/DLC1/NEUROD1/ATP2B4/PAX6/KCNA2/H2AJ/KIF26A/FOXP1/SSTR2/POU4F1/RTN4RL1/FAT4/ROBO2/BTG2/PAX5/CHRNB2/ZEB1/LHX6/PLCB1/SOX2/PCSK1/ERBB4/BCL11B/KCNC2/BMERB1/PLXNA4/PTCHD1/PROX1/TUBB2B/SLC1A2/DCLK2/TMEM108/CDON/PRDM8/FGFR2/FOXP2/CDH2/DISC1/DLX1/DRD2/POU3F2/SCN2A/OPHN1/SLITRK5/IGF2BP1/CCDC141/EPHA5/DCLK1/LHX1/PHACTR1/DNAH5/NRG3/BMP4/TH/COL3A1/TOX/SMO/SSTR1/AVPR1A/PCDH9/DIXDC1/CDK5R1/NEFL/CHD5/CNTNAP2/CDK5R2/DLX2/KCNA3/PIANP/KCNC1/PRDM13/FGFR1/TACC2/LRRK2/GLI2/EOMES/CXCR4/ELAVL4/FYN/SLC4A10/FGF2/NFIB/NOTCH3/LAMB1/NR4A2/EXT1/FEZ1/KDM2B/NEUROG2/DCT/GLI3/PTEN/CNTN2/SLC7A11/TSC1/LHX2/SCT/MFSD2A/SLC38A2/ATF5/SEMA3E/EZH1/GBX2/NR2E1/DRAXIN/SRGAP2C/SIX3/KDM1A/WDR62/EMX1/WDR47/ADGRG1/FXR2/ATP1A2/NR2F2/DLX5/BBS1/NHLH2/SKI/MDGA1/FEZF2/NTRK2/NDNF/BMP2/BTBD3/NOTCH2NLB/APLP1/NOG/PRKG1/NDE1/SOCS7/NUMBL/NOTCH1/WNT7B/E2F1/SEMA7A/SRGAP2/LHX8/WNT5A/EPHB3/UCHL5/HES1/WDR37/CSF1R/IGF1R/TUBB2A/TCTN1/CXCL12/LRP8/AQP1/CHD7/SUN1/KIF14/NUMB/RARB/FGF13/GLI1/STIL/ID2/SECISBP2",171
"GO:0007411","GO:0007411","axon guidance","110/4762","238/18805",0.46218487394958,1.82515467337712,7.46006896569753,1.89676480116486e-12,1.7108818506507e-09,1.41130710318251e-09,"NOTCH2/NRP1/RELN/NTN1/FOXG1/EMB/ROBO1/ETV1/EPHA3/PAX6/KIF5C/NOVA2/NELL2/ROBO2/NCAM1/DPYSL5/NRXN3/NRXN1/NRCAM/CYFIP2/CNTN1/NFASC/EPHA4/GAP43/NEO1/BCL11B/PLXNA4/TUBB2B/CHN1/SEMA6D/EPHA6/FLRT3/NTN4/PLEKHG4B/DCC/BOC/PTPRJ/GDNF/NGFR/EPHA7/PTPRH/LHX9/LMO4/PTPRM/SEMA3D/FOXD1/PTPRO/UNC5C/OPHN1/ALCAM/EPHA5/LHX1/SMO/EPHB1/NDP/CDK5R1/SEMA4B/CDK5R2/APBB2/NTN3/UNC5A/GLI2/MYOT/FYN/NFIB/NOTCH3/UNC5B/DSCAML1/EXT1/FEZ1/KIF5A/GLI3/CNTN2/GBX1/ARK2C/LHX2/ROBO3/CRPPA/SEMA3E/GBX2/ISL2/NTRK1/DRAXIN/SEMA4F/LAMA2/DLX5/SEMA6C/NEXN/PTK7/EDN1/FEZF2/ARHGEF25/NOG/NOTCH1/WNT7B/ERBB2/PLA2G10/SEMA7A/PLEKHG4/WNT5A/EPHB3/CSF1R/KLF7/LAMB2/CXCL12/ARTN/RPS6KA5/HOXA2/VANGL2/RPL24",110
"GO:0097485","GO:0097485","neuron projection guidance","110/4762","239/18805",0.460251046025105,1.81751804294458,7.40673817452483,2.64640707920228e-12,1.94261531128025e-09,1.60246412487116e-09,"NOTCH2/NRP1/RELN/NTN1/FOXG1/EMB/ROBO1/ETV1/EPHA3/PAX6/KIF5C/NOVA2/NELL2/ROBO2/NCAM1/DPYSL5/NRXN3/NRXN1/NRCAM/CYFIP2/CNTN1/NFASC/EPHA4/GAP43/NEO1/BCL11B/PLXNA4/TUBB2B/CHN1/SEMA6D/EPHA6/FLRT3/NTN4/PLEKHG4B/DCC/BOC/PTPRJ/GDNF/NGFR/EPHA7/PTPRH/LHX9/LMO4/PTPRM/SEMA3D/FOXD1/PTPRO/UNC5C/OPHN1/ALCAM/EPHA5/LHX1/SMO/EPHB1/NDP/CDK5R1/SEMA4B/CDK5R2/APBB2/NTN3/UNC5A/GLI2/MYOT/FYN/NFIB/NOTCH3/UNC5B/DSCAML1/EXT1/FEZ1/KIF5A/GLI3/CNTN2/GBX1/ARK2C/LHX2/ROBO3/CRPPA/SEMA3E/GBX2/ISL2/NTRK1/DRAXIN/SEMA4F/LAMA2/DLX5/SEMA6C/NEXN/PTK7/EDN1/FEZF2/ARHGEF25/NOG/NOTCH1/WNT7B/ERBB2/PLA2G10/SEMA7A/PLEKHG4/WNT5A/EPHB3/CSF1R/KLF7/LAMB2/CXCL12/ARTN/RPS6KA5/HOXA2/VANGL2/RPL24",110
"GO:0016358","GO:0016358","dendrite development","111/4762","242/18805",0.458677685950413,1.81130488960469,7.39703311464032,2.76901137179637e-12,1.94261531128025e-09,1.60246412487116e-09,"TNIK/NRP1/RELN/COBL/KNDC1/CTNND2/CHRNA3/KIF1A/DPYSL5/PTPRD/CHRNB2/BCL11A/PREX1/EPHA4/FARP1/SDC2/FAT3/NLGN1/MAP1A/MAP2/MARK1/LZTS1/ADGRB3/PPFIA2/DCC/VLDLR/DISC1/TBC1D24/SULT4A1/SLITRK5/IGF2BP1/DCLK1/IL1RAPL1/PHACTR1/RERE/CSMD3/GPRASP3/EPHB1/NDP/ZDHHC15/CDK5R1/NFATC4/SYNE1/PREX2/MAP1B/HECW2/MAPK8IP2/ACTL6B/CELSR2/CHRNA7/LRRK2/GPR37/TPBG/ELAVL4/DGKG/FYN/ARC/FOXO6/RAB17/SEZ6/ARMCX5-GPRASP2/PACSIN1/SDK1/MAP6/PTEN/ITGB1/ITPKA/MFSD2A/IQSEC1/NR2E1/CDKL5/SRGAP2C/PTN/TRPC5/BBS1/PPP3CA/SLC11A2/ARF4/FEZF2/TET1/MAP1S/NGEF/ZNF365/TLX2/BTBD3/MEF2C/FZD4/CHRFAM7A/PRKG1/ZNF296/DTNBP1/SMAD1/SRGAP2/ARHGAP33/EPHB3/KLF7/LZTS3/DLG5/CAMK1D/LRP8/CAMSAP2/ASAP1/SARM1/SRCIN1/LLPH/CUX2/DNM3/FSTL4/TIAM1/TMEM106B/TANC2",111
"GO:0048706","GO:0048706","embryonic skeletal system development","71/4762","135/18805",0.525925925925926,2.07686624045297,7.31217128889332,1.00264312872754e-11,6.33068871478567e-09,5.2221875799409e-09,"GRHL2/SMAD3/PRRX1/DYNC2I1/PAX5/ZEB1/SOX11/EYA1/FGFR2/HOXB3/MMP16/DLX1/FGF9/LHX1/HOXD4/BMP4/HOXB4/HOXA6/MTHFD1L/TFAP2A/FUZ/HOXD3/XYLT1/RUNX2/HOXB2/DLX2/HOXA5/HOXA3/TWIST1/HOXA7/HOXA11/HOXA9/SIX2/DLX3/HAND2/SIX1/TGFB3/DSCAML1/DLX6/HOXD9/MDFI/EXT1/SHOX2/DMRT2/GLI3/ALX4/HOXA1/HOXA4/TBX1/HOXC5/ALX3/PBX1/DLX5/FLVCR1/PDGFRA/WNT9A/ACVR2A/SULF1/NOG/SIX4/COL11A1/WNT5A/MMP14/NKX3-2/DEAF1/KIAA1217/COL1A1/TBX15/HOXA2/WDR19/BMI1",71
